id,name,nationality,date_of_birth,position,height,preferred_foot,source,source_url,validation_status
p01,Gurpreet Singh Sandhu,India,1992-02-03,Goalkeeper,1.98m,Right,Transfermarkt,https://www.transfermarkt.com/gurpreet-singh-sandhu/profil/spieler/157404,Verified
p02,Sunil Chhetri,India,1984-08-03,Striker,1.70m,Both,Transfermarkt,https://www.transfermarkt.com/sunil-chhetri/profil/spieler/64602,Verified
p03,Suresh Singh Wangjam,India,2000-08-07,Central Midfielder,1.76m,Right,Transfermarkt,https://www.transfermarkt.com/suresh-singh-wangjam/profil/spieler/534160,Verified
p04,Naorem Roshan Singh,India,1999-02-02,Left Back,1.72m,Both,Transfermarkt,https://www.transfermarkt.com/naorem-roshan-singh/profil/spieler/534149,Verified
p05,Sivasakthi Narayanan,India,2001-07-09,Striker,1.74m,Right,Transfermarkt,https://www.transfermarkt.com/sivasakthi-narayanan/profil/spieler/934579,Verified
p06,Jorge Pereyra Díaz,Argentina,1990-08-05,Striker,1.80m,Right,Transfermarkt,https://www.transfermarkt.com/jorge-pereyra-diaz/profil/spieler/107767,Verified
p07,Alberto Noguera,Spain,1989-09-24,Attacking Midfielder,1.78m,Right,Transfermarkt,https://www.transfermarkt.com/alberto-noguera/profil/spieler/138137,Verified
p08,Édgar Méndez,Spain,1990-01-02,Winger,1.87m,Right,Transfermarkt,https://www.transfermarkt.com/edgar-mendez/profil/spieler/89667,Verified
p09,Rahul Bheke,India,1990-12-06,Centre Back,1.79m,Right,Transfermarkt,https://www.transfermarkt.com/rahul-bheke/profil/spieler/416139,Verified
p10,Aleksandar Jovanović,Australia,1989-08-04,Centre Back,1.96m,Left,Transfermarkt,https://www.transfermarkt.com/aleksandar-jovanovic/profil/spieler/132479,Verified
p11,Chinglensana Singh,India,1996-11-27,Centre Back,1.85m,Right,Transfermarkt,https://www.transfermarkt.com/chinglensana-singh/profil/spieler/416134,Verified
p12,Pedro Capó,Spain,1990-12-11,Defensive Midfielder,1.83m,Right,Transfermarkt,https://www.transfermarkt.com/pedro-capo/profil/spieler/138138,Verified
p13,Mohamed Salah,India,1994-11-13,Left Back,1.75m,Left,Transfermarkt,https://www.transfermarkt.com/mohamed-salah/profil/spieler/952341,Verified
p14,Ryan Williams,Australia,1993-10-28,Winger,1.75m,Right,Transfermarkt,https://www.transfermarkt.com/ryan-williams/profil/spieler/198495,Verified
p15,Javi Hernández,Spain,1989-06-06,Attacking Midfielder,1.84m,Left,Transfermarkt,https://www.transfermarkt.com/javi-hernandez/profil/spieler/85338,Verified
p16,Cleiton Silva,Brazil,1987-02-03,Forward,1.76m,Right,Transfermarkt,https://www.transfermarkt.com/cleiton-silva/profil/spieler/138139,Verified
p17,Roy Krishna,Fiji,1987-08-30,Striker,1.70m,Right,Transfermarkt,https://www.transfermarkt.com/roy-krishna/profil/spieler/64601,Verified
p18,Bruno Ramires,Brazil,1994-03-18,Defensive Midfielder,1.90m,Right,Transfermarkt,https://www.transfermarkt.com/bruno-ramires/profil/spieler/324128,Verified
p19,Alan Costa,Brazil,1990-10-30,Centre Back,1.94m,Right,Transfermarkt,https://www.transfermarkt.com/alan-costa/profil/spieler/178945,Verified
p20,Rohit Kumar,India,1997-04-01,Central Midfielder,1.78m,Right,Transfermarkt,https://www.transfermarkt.com/rohit-kumar/profil/spieler/534158,Verified
p21,Halicharan Narzary,India,1994-05-10,Winger,1.77m,Left,Transfermarkt,https://www.transfermarkt.com/halicharan-narzary/profil/spieler/343431,Verified
p22,Slavko Damjanović,Montenegro,1992-11-02,Centre Back,1.89m,Left,Transfermarkt,https://www.transfermarkt.com/slavko-damjanovic/profil/spieler/166127,Verified
p23,Oliver Drost,Denmark,1995-11-04,Striker,1.88m,Right,Transfermarkt,https://www.transfermarkt.com/oliver-drost/profil/spieler/335804,Verified
p24,Keziah Veendorp,Netherlands,1997-02-17,Defensive Midfielder,1.87m,Right,Transfermarkt,https://www.transfermarkt.com/keziah-veendorp/profil/spieler/258364,Verified
p25,Curtis Main,England,1992-06-20,Striker,1.78m,Right,Transfermarkt,https://www.transfermarkt.com/curtis-main/profil/spieler/77271,Verified
