id,season,player_id,player_name,transfer_type,position,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
1,2020/21,p39,Pratik Chaudhari,Arrival,Defender,Mumbai City,Bengaluru FC,Free,Joined,2020-06-03,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2,2020/21,p34,Lalthuammawia Ralte,Arrival,Goalkeeper,East Bengal,Bengaluru FC,Free,Joined,2020-06-03,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
3,2020/21,p41,Joe Zoherliana,Arrival,Defender,Aizawl,Bengaluru FC,Free,Joined,2020-06-05,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
4,2020/21,p42,Wungngayam Muirang,Arrival,Defender,Gokulam Kerala,Bengaluru FC,Free,Joined,2020-06-05,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
5,2020/21,p16,Cleiton Silva,Arrival,Forward,Suphanburi,Bengaluru FC,Free,Joined,2020-06-20,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
6,2020/21,p40,Ajith Kumar,Arrival,Defender,Chennai City,Bengaluru FC,Undisclosed,Joined,2020-08-22,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
7,2020/21,p37,Huidrom Thoi Singh,Arrival,Midfielder,Reliance Foundation Young Champs,Bengaluru FC,Free,Joined,2020-09-18,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
8,2020/21,p43,Lara Sharma,Arrival,Goalkeeper,ATK,Bengaluru FC,Free,Joined,2020-10-03,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
9,2020/21,p44,Fran González,Arrival,Defender,Mohun Bagan,Bengaluru FC,Free,Joined,2020-10-20,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
10,2020/21,p45,Kristian Opseth,Arrival,Forward,Adelaide United,Bengaluru FC,Free,Joined,2020-10-20,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
11,2020/21,p15,Xisco Hernández,Arrival,Midfielder,Odisha,Bengaluru FC,Free,Joined,2021-01-15,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
12,2020/21,p46,Yrondu Musavu-King,Arrival,Defender,Le Mans,Bengaluru FC,Free,Joined,2021-03-10,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
13,2020/21,p47,Albert Serrán,Departure,Defender,Bengaluru FC,Montañesa,Free,Departed,2020-06-01,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
14,2020/21,p48,Sairuat Kima,Departure,Defender,Bengaluru FC,Sudeva,Free,Departed,2020-06-01,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
15,2020/21,p49,Rino Anto,Departure,Defender,Bengaluru FC,East Bengal,Free,Departed,2020-06-01,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
16,2020/21,p50,Eugeneson Lyngdoh,Departure,Midfielder,Bengaluru FC,East Bengal,Free,Departed,2020-06-01,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
17,2020/21,p51,Nili,Departure,Midfielder,Bengaluru FC,Levadiakos,Free,Departed,2020-06-09,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
18,2020/21,p40,Nishu Kumar,Departure,Defender,Bengaluru FC,Kerala Blasters,Free,Departed,2020-07-22,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
19,2020/21,p52,Kevaughn Frater,Departure,Forward,Bengaluru FC,Maccabi Netanya,Free,Departed,2020-08-01,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
20,2020/21,p37,Prabhsukhan Singh Gill,Departure,Goalkeeper,Bengaluru FC,Kerala Blasters,Free,Departed,2020-09-09,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
21,2020/21,p53,Manuel Onwu,Departure,Forward,Bengaluru FC,Odisha,Free,Departed,2020-09-13,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
22,2020/21,p37,Gursimrat Singh Gill,Departure,Defender,Bengaluru FC,Bengaluru United,Free,Departed,2020-09-17,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
23,2020/21,p54,Kean Lewis,Departure,Midfielder,Bengaluru FC,Sudeva,Free,Departed,2020-10-09,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
24,2020/21,p55,Raphael Augusto,Departure,Midfielder,Bengaluru FC,Abahani Limited Dhaka,Free,Departed,2020-10-17,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
25,2020/21,p56,Deshorn Brown,Departure,Forward,Bengaluru FC,NorthEast United,Released,Departed,2021-01-15,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
26,2020/21,p02,Ajay Chhetri,Loan Out,Midfielder,Bengaluru FC,East Bengal,Unknown,Loaned Out,2021-01-15,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
27,2021/22,p20,Rohit Kumar,Arrival,Midfielder,Kerala Blasters,Bengaluru FC,Free,Joined,2021-06-29,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
28,2021/22,p57,Sarthak Golui,Arrival,Defender,East Bengal,Bengaluru FC,Free,Joined,2021-07-12,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
29,2021/22,p58,Prince Ibara,Arrival,Forward,Châteauroux,Bengaluru FC,Free,Joined,2021-07-16,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
30,2021/22,p37,Harmanpreet Singh,Arrival,Forward,East Bengal,Bengaluru FC,Free,Joined,2021-07-19,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
31,2021/22,p59,Jayesh Rane,Arrival,Midfielder,ATK Mohun Bagan,Bengaluru FC,Free,Joined,2021-07-22,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
32,2021/22,p60,Danish Farooq Bhat,Arrival,Midfielder,Real Kashmir,Bengaluru FC,Free,Joined,2021-07-25,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
33,2021/22,p37,Bidyashagar Singh,Arrival,Forward,TRAU,Bengaluru FC,Undisclosed,Joined,2021-07-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
34,2021/22,p18,Bruno Ramires,Arrival,Midfielder,Belenenses,Bengaluru FC,Free,Joined,2021-08-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
35,2021/22,p61,Iman Basafa,Arrival,Midfielder,Machine Sazi,Bengaluru FC,Free,Joined,2021-09-14,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
36,2021/22,p19,Alan Costa,Loan In,Defender,Avaí,Bengaluru FC,Undisclosed,Loaned In,2021-07-06,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
37,2021/22,p62,Harmanjot Khabra,Departure,Midfielder,Bengaluru FC,Kerala Blasters,Free,Departed,2021-05-30,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
38,2021/22,p63,Dimas Delgado,Departure,Midfielder,Bengaluru FC,–,Free,Departed,2021-05-30,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
39,2021/22,p09,Rahul Bheke,Departure,Defender,Bengaluru FC,Mumbai City,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
40,2021/22,p64,Thongkhosiem Haokip,Departure,Forward,Bengaluru FC,East Bengal,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
41,2021/22,p44,Fran González,Departure,Defender,Bengaluru FC,Unknown,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
42,2021/22,p15,Xisco Hernández,Departure,Midfielder,Bengaluru FC,Unknown,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
43,2021/22,p65,Juanan,Departure,Defender,Bengaluru FC,Hyderabad,Released,Departed,2021-06-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
44,2021/22,p41,Joe Zoherliana,Departure,Defender,Bengaluru FC,NorthEast United,Released,Departed,2021-07-26,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
45,2021/22,p34,Lalthuammawia Ralte,Departure,Goalkeeper,Bengaluru FC,RoundGlass Punjab,Undisclosed,Departed,2021-08-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
46,2021/22,p66,Emanuel Lalchhanchhuaha,Departure,Midfielder,Bengaluru FC,NorthEast United,Undisclosed,Departed,2021-09-08,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
