id,season,player_id,club,age,market_value,joined_date,signed_from,source,source_url,validation_status
sq01,2024/25,p01,Bengaluru FC,32,€200k,2017-08-14,Stabæk,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq02,2024/25,p02,Bengaluru FC,40,€50k,2017-07-01,Mumbai City FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq03,2024/25,p03,Bengaluru FC,24,€300k,2019-07-01,Indian Arrows,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq04,2024/25,p04,Bengaluru FC,25,€250k,2020-09-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq05,2024/25,p05,Bengaluru FC,23,€200k,2021-07-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq06,2024/25,p06,Bengaluru FC,34,€350k,2024-06-25,Mumbai City FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq07,2024/25,p07,Bengaluru FC,35,€250k,2024-06-20,Mumbai City FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq08,2024/25,p08,Bengaluru FC,34,€400k,2024-07-09,Club Necaxa,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq09,2024/25,p09,Bengaluru FC,33,€175k,2024-07-01,Mumbai City FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq10,2024/25,p10,Bengaluru FC,35,€200k,2022-07-01,Macarthur FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq11,2024/25,p11,Bengaluru FC,27,€225k,2024-01-31,Hyderabad FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq12,2024/25,p12,Bengaluru FC,33,€200k,2024-07-15,CD Eldense,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq13,2024/25,p13,Bengaluru FC,29,€125k,2024-07-05,Punjab FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq14,2024/25,p14,Bengaluru FC,30,€300k,2023-08-01,Perth Glory,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq15,2024/25,p21,Bengaluru FC,30,€150k,2023-06-14,Hyderabad FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq16,2024/25,p29,Bengaluru FC,22,€75k,2023-06-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq17,2024/25,p30,Bengaluru FC,20,€50k,2024-07-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq18,2024/25,p31,Bengaluru FC,20,€50k,2024-07-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq19,2024/25,p32,Bengaluru FC,19,€50k,2024-07-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq20,2024/25,p33,Bengaluru FC,18,€50k,2023-06-01,Zinc FA,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq21,2024/25,p34,Bengaluru FC,31,€50k,2024-06-28,Odisha FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq22,2024/25,p35,Bengaluru FC,19,€100k,2024-07-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
