id,season,player_name,position,transfer_type,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
1,2020/21,Pratik Chaudhari,Defender,Arrival,Mumbai City,Bengaluru FC,Free,Joined,3 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2,2020/21,Lalthuammawia Ralte,Goalkeeper,Arrival,East Bengal,Bengaluru FC,Free,Joined,3 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
3,2020/21,Joe Zoherliana,Defender,Arrival,Aizawl,Bengaluru FC,Free,Joined,5 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
4,2020/21,Wungngayam Muirang,Defender,Arrival,Gokulam Kerala,Bengaluru FC,Free,Joined,5 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
5,2020/21,Cleiton Silva,Forward,Arrival,Suphanburi,Bengaluru FC,Free,Joined,20 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
6,2020/21,Ajith Kumar,Defender,Arrival,Chennai City,Bengaluru FC,Undisclosed,Joined,22 August 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
7,2020/21,Huidrom Thoi Singh,Midfielder,Arrival,Reliance Foundation Young Champs,Bengaluru FC,Free,Joined,18 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
8,2020/21,Lara Sharma,Goalkeeper,Arrival,ATK,Bengaluru FC,Free,Joined,3 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
9,2020/21,Fran González,Defender,Arrival,Mohun Bagan,Bengaluru FC,Free,Joined,20 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
10,2020/21,Kristian Opseth,Forward,Arrival,Adelaide United,Bengaluru FC,Free,Joined,20 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
11,2020/21,Xisco Hernández,Midfielder,Arrival,Odisha,Bengaluru FC,Free,Joined,15 January 2021,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
12,2020/21,Yrondu Musavu-King,Defender,Arrival,Le Mans,Bengaluru FC,Free,Joined,10 March 2021,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
13,2020/21,Albert Serrán,Defender,Departure,Bengaluru FC,Montañesa,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
14,2020/21,Sairuat Kima,Defender,Departure,Bengaluru FC,Sudeva,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
15,2020/21,Rino Anto,Defender,Departure,Bengaluru FC,East Bengal,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
16,2020/21,Eugeneson Lyngdoh,Midfielder,Departure,Bengaluru FC,East Bengal,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
17,2020/21,Nili,Midfielder,Departure,Bengaluru FC,Levadiakos,Free,Departed,9 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
18,2020/21,Nishu Kumar,Defender,Departure,Bengaluru FC,Kerala Blasters,Free,Departed,22 July 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
19,2020/21,Kevaughn Frater,Forward,Departure,Bengaluru FC,Maccabi Netanya,Free,Departed,1 August 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
20,2020/21,Prabhsukhan Singh Gill,Goalkeeper,Departure,Bengaluru FC,Kerala Blasters,Free,Departed,9 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
21,2020/21,Manuel Onwu,Forward,Departure,Bengaluru FC,Odisha,Free,Departed,13 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
22,2020/21,Gursimrat Singh Gill,Defender,Departure,Bengaluru FC,Bengaluru United,Free,Departed,17 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
23,2020/21,Kean Lewis,Midfielder,Departure,Bengaluru FC,Sudeva,Free,Departed,9 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
24,2020/21,Raphael Augusto,Midfielder,Departure,Bengaluru FC,Abahani Limited Dhaka,Free,Departed,17 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
25,2020/21,Deshorn Brown,Forward,Departure,Bengaluru FC,NorthEast United,Released,Departed,15 January 2021,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
26,2020/21,Ajay Chhetri,Midfielder,Departure,Bengaluru FC,East Bengal,Unknown,Departed,15 January 2021,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
27,2020/21,Ajay Chhetri,Midfielder,Loan Out,Bengaluru FC,East Bengal,Unknown,Loaned Out,15 January 2021,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
28,2021/22,Rohit Kumar,Midfielder,Arrival,Kerala Blasters,Bengaluru FC,Free,Joined,29 June 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
29,2021/22,Sarthak Golui,Defender,Arrival,East Bengal,Bengaluru FC,Free,Joined,12 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
30,2021/22,Prince Ibara,Forward,Arrival,Châteauroux,Bengaluru FC,Free,Joined,16 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
31,2021/22,Harmanpreet Singh,Forward,Arrival,East Bengal,Bengaluru FC,Free,Joined,19 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
32,2021/22,Jayesh Rane,Midfielder,Arrival,ATK Mohun Bagan,Bengaluru FC,Free,Joined,22 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
33,2021/22,Danish Farooq Bhat,Midfielder,Arrival,Real Kashmir,Bengaluru FC,Free,Joined,25 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
34,2021/22,Bidyashagar Singh,Forward,Arrival,TRAU,Bengaluru FC,Undisclosed,Joined,28 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
35,2021/22,Bruno Ramires,Midfielder,Arrival,Belenenses,Bengaluru FC,Free,Joined,28 August 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
36,2021/22,Iman Basafa,Midfielder,Arrival,Machine Sazi,Bengaluru FC,Free,Joined,14 September 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
37,2021/22,Alan Costa,Defender,Arrival,Avaí,Bengaluru FC,Undisclosed,Joined,6 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
38,2021/22,Alan Costa,Defender,Loan In,Avaí,Bengaluru FC,Undisclosed,Loaned In,6 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
39,2021/22,Harmanjot Khabra,Midfielder,Departure,Bengaluru FC,Kerala Blasters,Free,Departed,30 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
40,2021/22,Dimas Delgado,Midfielder,Departure,Bengaluru FC,–,Free,Departed,30 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
41,2021/22,Rahul Bheke,Defender,Departure,Bengaluru FC,Mumbai City,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
42,2021/22,Thongkhosiem Haokip,Forward,Departure,Bengaluru FC,East Bengal,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
43,2021/22,Fran González,Defender,Departure,Bengaluru FC,Unknown,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
44,2021/22,Xisco Hernández,Midfielder,Departure,Bengaluru FC,Unknown,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
45,2021/22,Juanan,Defender,Departure,Bengaluru FC,Hyderabad,Released,Departed,28 June 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
46,2021/22,Joe Zoherliana,Defender,Departure,Bengaluru FC,NorthEast United,Released,Departed,26 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
47,2021/22,Lalthuammawia Ralte,Goalkeeper,Departure,Bengaluru FC,RoundGlass Punjab,Undisclosed,Departed,28 August 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
48,2021/22,Emanuel Lalchhanchhuaha,Midfielder,Departure,Bengaluru FC,NorthEast United,Undisclosed,Departed,8 September 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
49,2022/23,Prabir Das,Defender,Arrival,ATK Mohun Bagan,Bengaluru FC,Undisclosed,Joined,20 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
50,2022/23,Javi Hernández,Midfielder,Arrival,Odisha,Bengaluru FC,Free,Joined,22 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
51,2022/23,Faisal Ali,Forward,Arrival,Mohammedan,Bengaluru FC,Free,Joined,1 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
52,2022/23,Amrit Gope,Goalkeeper,Arrival,TRAU,Bengaluru FC,Free,Joined,1 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
53,2022/23,Hira Mondal,Defender,Arrival,East Bengal,Bengaluru FC,Free,Joined,5 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
54,2022/23,Roy Krishna,Forward,Arrival,ATK Mohun Bagan,Bengaluru FC,Free,Joined,18 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
