season,player_name,position,transfer_type,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
2020/21,Pratik Chaudhari,Defender,Arrival,Mumbai City,Bengaluru FC,Free,Joined,3 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Lalthuammawia Ralte,Goalkeeper,Arrival,East Bengal,Bengaluru FC,Free,Joined,3 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Joe Zoherliana,Defender,Arrival,Aizawl,Bengaluru FC,Free,Joined,5 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Wungngayam Muirang,Defender,Arrival,Gokulam Kerala,Bengaluru FC,Free,Joined,5 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Cleiton Silva,Forward,Arrival,Suphanburi,Bengaluru FC,Free,Joined,20 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Ajith Kumar,Defender,Arrival,Chennai City,Bengaluru FC,Undisclosed,Joined,22 August 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Huidrom Thoi Singh,Midfielder,Arrival,Reliance Foundation Young Champs,Bengaluru FC,Free,Joined,18 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Lara Sharma,Goalkeeper,Arrival,ATK,Bengaluru FC,Free,Joined,3 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Fran González,Defender,Arrival,Mohun Bagan,Bengaluru FC,Free,Joined,20 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Kristian Opseth,Forward,Arrival,Adelaide United,Bengaluru FC,Free,Joined,20 October 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Xisco Hernández,Midfielder,Arrival,Odisha,Bengaluru FC,Free,Joined,15 January 2021,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Yrondu Musavu-King,Defender,Arrival,Le Mans,Bengaluru FC,Free,Joined,10 March 2021,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Albert Serrán,Defender,Departure,Bengaluru FC,Montañesa,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Sairuat Kima,Defender,Departure,Bengaluru FC,Sudeva,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Rino Anto,Defender,Departure,Bengaluru FC,East Bengal,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Eugeneson Lyngdoh,Midfielder,Departure,Bengaluru FC,East Bengal,Free,Departed,1 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Nili,Midfielder,Departure,Bengaluru FC,Levadiakos,Free,Departed,9 June 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Nishu Kumar,Defender,Departure,Bengaluru FC,Kerala Blasters,Free,Departed,22 July 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Kevaughn Frater,Forward,Departure,Bengaluru FC,Maccabi Netanya,Free,Departed,1 August 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Prabhsukhan Singh Gill,Goalkeeper,Departure,Bengaluru FC,Kerala Blasters,Free,Departed,9 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Manuel Onwu,Forward,Departure,Bengaluru FC,Odisha,Free,Departed,13 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
2020/21,Gursimrat Singh Gill,Defender,Departure,Bengaluru FC,Bengaluru United,Free,Departed,17 September 2020,Wikipedia,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bengaluru_FC_season,Verified
